Indicator,S.No.,Parameters,Type,District,Value
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,Kancheepuram,85273.0
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,Kancheepuram,1051.0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,Kancheepuram,476.0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,Kancheepuram,60900.0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,Kancheepuram,1267.0
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,Kancheepuram,118.0
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,Kancheepuram,0.0
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,Kancheepuram,0.0
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,Kancheepuram,4866.0
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,Kancheepuram,0.0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,Kancheepuram,0.0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,Kancheepuram,0.0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,Kancheepuram,0.0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,Kancheepuram,1.0
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,Kancheepuram,0.0
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,Kancheepuram,0.0
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,Kancheepuram,0.0
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,Kancheepuram,35801.0
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,Kancheepuram,1220.0
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,Kancheepuram,0.0
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,Kancheepuram,17992.0
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,Kancheepuram,6166.0
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,Kancheepuram,18395.0
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,Kancheepuram,17915.0
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,Kancheepuram,569.0
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,Kancheepuram,159.0
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,Kancheepuram,2061.0
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,Kancheepuram,1704.0
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,Kancheepuram,58.0
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,Kancheepuram,0.0
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,Kancheepuram,0.0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,Kancheepuram,22.0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,Kancheepuram,36310.0
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,Kancheepuram,7230.0
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,Kancheepuram,28645.0
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,Kancheepuram,19552.0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,Kancheepuram,3823.0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,Kancheepuram,0.0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,Kancheepuram,0.0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,Kancheepuram,17480.0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,Kancheepuram,17540.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,Kancheepuram,9122.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,Kancheepuram,15079.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,Kancheepuram,8931.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,Kancheepuram,14372.0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,Kancheepuram,10.0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,Kancheepuram,870.0
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,Kancheepuram,608.0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,Kancheepuram,9262.0
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,Kancheepuram,539.0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,Kancheepuram,3014.0
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,Kancheepuram,8726.0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,Kancheepuram,22.0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,Kancheepuram,762.0
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,Kancheepuram,0.0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,Kancheepuram,503.0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,Kancheepuram,209.0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,Kancheepuram,53.0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,Kancheepuram,6.0
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,Kancheepuram,18927.0
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,Kancheepuram,281895.0
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,Kancheepuram,1961.0
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,Kancheepuram,265.0
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,Kancheepuram,28106.0
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,Kancheepuram,0.0
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,Kancheepuram,0.0
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,Kancheepuram,0.0
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,Kancheepuram,23.0
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,Kancheepuram,0.0
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,Kancheepuram,27101.0
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,Kancheepuram,39117.0
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,Kancheepuram,38064.0
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,Kancheepuram,37239.0
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,Kancheepuram,36971.0
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,Kancheepuram,39254.0
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,Kancheepuram,38475.0
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,Kancheepuram,37578.0
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,Kancheepuram,37264.0
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,Kancheepuram,37911.0
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,Kancheepuram,36764.0
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,Kancheepuram,35806.0
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,Kancheepuram,35976.0
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,Kancheepuram,35095.0
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,Kancheepuram,34977.0
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,Kancheepuram,43806.0
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,Kancheepuram,244.0
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,Kancheepuram,124.0
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,Kancheepuram,17340.0
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,Kancheepuram,15474.0
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,Kancheepuram,10654.0
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,Kancheepuram,603.0
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,Kancheepuram,21473.0
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,Kancheepuram,45.0
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,Kancheepuram,38578.0
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,Kancheepuram,38674.0
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,Kancheepuram,4158.0
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,Kancheepuram,89.0
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,Kancheepuram,71363.0
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,Kancheepuram,59698.0
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,Kancheepuram,58125.0
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,Kancheepuram,2.0
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,Kancheepuram,0.0
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,Kancheepuram,16505.0
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,Kancheepuram,16639.0
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,Kancheepuram,854.0
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,Kancheepuram,19304.0
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,Kancheepuram,32355.0
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,Kancheepuram,33339.0
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,Kancheepuram,190956.0
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,Kancheepuram,8081.0
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,Kancheepuram,1.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,Kancheepuram,40.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,Kancheepuram,107.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,Kancheepuram,78.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,Kancheepuram,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,Kancheepuram,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,Kancheepuram,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,Kancheepuram,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,Kancheepuram,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,Kancheepuram,0.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Malaria,TOTAL,Kancheepuram,7.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.11,Childhood Diseases - Diarrhoea,TOTAL,Kancheepuram,43222.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.12,Childhood Diseases - Diarrhoea treated in Inpatients,TOTAL,Kancheepuram,1819.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.13,Children admitted with upper respiratory infections,TOTAL,Kancheepuram,29744.0
M10 [Number of cases of Childhood Diseases (0-5 years)],10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.1.1.a,Total Blood Smears Examined for Malaria,TOTAL,Kancheepuram,189306.0
M11 [NVBDCP],11.1.1.b,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,TOTAL,Kancheepuram,44.0
M11 [NVBDCP],11.1.1.c,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.1.2.a,RDT conducted for Malaria,TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.2.1,Kala Azar (RDT) - Tests Conducted,TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.2.2,Kala Azar Positive Cases,TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.2.3,Post-kala-azar dermal leishmaniasis (PKDL) cases,TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.3.1,Dengue - RDT Test Positive,TOTAL,Kancheepuram,354.0
M11 [NVBDCP],11.3.2,Dengue - Enzyme- Linked Immuno Sorbent Assay (ELISA) Test Positive,TOTAL,Kancheepuram,100.0
M11 [NVBDCP],11.4.1,Tests Conducted for JE,TOTAL,Kancheepuram,0.0
M11 [NVBDCP],11.4.2,Tests Positive for JE,TOTAL,Kancheepuram,0.0
M12 [Adolscent Health],12.1.1.a,Girls registered in AFHC,TOTAL,Kancheepuram,4442.0
M12 [Adolscent Health],12.1.1.b,Boys registered in AFHC,TOTAL,Kancheepuram,3814.0
M12 [Adolscent Health],12.1.2.a,"Out of registered, Girls received clinical services",TOTAL,Kancheepuram,4187.0
M12 [Adolscent Health],12.1.2.b,"Out of registered, Boys received clinical services",TOTAL,Kancheepuram,3679.0
M12 [Adolscent Health],12.1.3.a,"Out of registered, Girls received counselling",TOTAL,Kancheepuram,3369.0
M12 [Adolscent Health],12.1.3.b,"Out of registered, Boys received counselling",TOTAL,Kancheepuram,2941.0
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.1,Number of on-going DOTS patients registered,TOTAL,Kancheepuram,4781.0
"M13 [Directly Observed Treatment, Short-course (DOTS)]",13.2,Number of DOTS cases completed successfully,TOTAL,Kancheepuram,2220.0
M14 [Patient Services],14.1.1,Outpatient - Diabetes,TOTAL,Kancheepuram,386267.0
M14 [Patient Services],14.1.2,Outpatient - Hypertension,TOTAL,Kancheepuram,426754.0
M14 [Patient Services],14.1.3,Outpatient - Stroke (Paralysis),TOTAL,Kancheepuram,806.0
M14 [Patient Services],14.1.4,Outpatient - Acute Heart Diseases,TOTAL,Kancheepuram,52010.0
M14 [Patient Services],14.1.5,Outpatient - Mental illness,TOTAL,Kancheepuram,61932.0
M14 [Patient Services],14.1.6,Outpatient - Epilepsy,TOTAL,Kancheepuram,14574.0
M14 [Patient Services],14.1.7,Outpatient - Ophthalmic Related,TOTAL,Kancheepuram,94216.0
M14 [Patient Services],14.1.8,Outpatient - Dental,TOTAL,Kancheepuram,116533.0
M14 [Patient Services],14.1.9,Outpatient - Oncology,TOTAL,Kancheepuram,2738.0
M14 [Patient Services],14.2.1,Allopathic- Outpatient attendance,TOTAL,Kancheepuram,8469691.0
M14 [Patient Services],14.2.2,Ayush - Outpatient attendance,TOTAL,Kancheepuram,888363.0
M14 [Patient Services],14.3.1.a,Inpatient (Male)- Children<18yrs,TOTAL,Kancheepuram,36403.0
M14 [Patient Services],14.3.1.b,Inpatient (Male)- Adults,TOTAL,Kancheepuram,138604.0
M14 [Patient Services],14.3.2.a,Inpatient (Female)- Children<18yrs,TOTAL,Kancheepuram,24185.0
M14 [Patient Services],14.3.2.b,Inpatient (Female)- Adults,TOTAL,Kancheepuram,206561.0
M14 [Patient Services],14.3.3,Number of Left Against Medical Advice (LAMA) cases,TOTAL,Kancheepuram,214.0
M14 [Patient Services],14.4.1,Inpatient - Malaria,TOTAL,Kancheepuram,0.0
M14 [Patient Services],14.4.2,Inpatient - Dengue,TOTAL,Kancheepuram,91.0
M14 [Patient Services],14.4.3,Inpatient - Typhoid,TOTAL,Kancheepuram,185.0
M14 [Patient Services],14.4.4,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",TOTAL,Kancheepuram,2153.0
M14 [Patient Services],14.4.5,Inpatient - Tuberculosis,TOTAL,Kancheepuram,44.0
M14 [Patient Services],14.4.6,Inpatient - Pyrexia of unknown origin (PUO),TOTAL,Kancheepuram,5623.0
M14 [Patient Services],14.4.7,Inpatient - Diarrhea with dehydration,TOTAL,Kancheepuram,3722.0
M14 [Patient Services],14.4.8,Inpatient - Hepatitis,TOTAL,Kancheepuram,3.0
M14 [Patient Services],14.5,Patients registered at Emergency Department,TOTAL,Kancheepuram,440960.0
M14 [Patient Services],14.6.1,"Emergency - Trauma ( accident, injury, poisoning etc)",TOTAL,Kancheepuram,47828.0
M14 [Patient Services],14.6.2,Emergency - Burn,TOTAL,Kancheepuram,145.0
M14 [Patient Services],14.6.3,Emergency - Obstetrics complications,TOTAL,Kancheepuram,5421.0
M14 [Patient Services],14.6.4,Emergency - Snake Bite,TOTAL,Kancheepuram,1828.0
M14 [Patient Services],14.6.5,Emergency - Acute Caridiac Emergencies,TOTAL,Kancheepuram,555.0
M14 [Patient Services],14.6.7,Emergency - CVA ( Cerebovascular Disease),TOTAL,Kancheepuram,423.0
M14 [Patient Services],14.7,Number of deaths occurring at Emergency Department,TOTAL,Kancheepuram,227.0
M14 [Patient Services],14.8.1,Operation major (General and spinal anaesthesia),TOTAL,Kancheepuram,21209.0
M14 [Patient Services],14.8.2,"Out of Operation major, Gynecology- Hysterectomy surgeries",TOTAL,Kancheepuram,6349.0
M14 [Patient Services],14.8.3,"Major Surgeries excluding Obstetrics, Gynaecology and Opthalmology etc.",TOTAL,Kancheepuram,747.0
M14 [Patient Services],14.8.4,Operation minor (No or local anaesthesia),TOTAL,Kancheepuram,91589.0
M14 [Patient Services],14.8.5,Number of post operative Surgical Site infection,TOTAL,Kancheepuram,9.0
M14 [Patient Services],14.8.6,Number of blood units issued,TOTAL,Kancheepuram,10053.0
M14 [Patient Services],14.8.7,Number of blood transfusions done,TOTAL,Kancheepuram,10018.0
M14 [Patient Services],14.9.1,Inpatient Deaths - Male,TOTAL,Kancheepuram,929.0
M14 [Patient Services],14.9.2,Inpatient Deaths - Female,TOTAL,Kancheepuram,604.0
M14 [Patient Services],14.1,In-Patient Head Count at midnight,TOTAL,Kancheepuram,534047.0
M14 [Patient Services],14.11,Number of Admission in NBSU ( New Born Stabilisation Unit),TOTAL,Kancheepuram,688.0
M14 [Patient Services],14.12.1,Special Newborn Care Unit (SNCU Admissions) - Inborn Male,TOTAL,Kancheepuram,1612.0
M14 [Patient Services],14.12.2,Special Newborn Care Unit (SNCU Admissions) - Inborn Female,TOTAL,Kancheepuram,1318.0
M14 [Patient Services],14.12.3,Outborn  Male,TOTAL,Kancheepuram,460.0
M14 [Patient Services],14.12.4,Outborn - Female,TOTAL,Kancheepuram,352.0
M14 [Patient Services],14.12.5,Number of newborns admitted in SNCU - referred by ASHA,TOTAL,Kancheepuram,155.0
M14 [Patient Services],14.13,Number of deaths occurring at SNCU,TOTAL,Kancheepuram,157.0
M14 [Patient Services],14.14.1,Number of children admitted in NRC,TOTAL,Kancheepuram,0.0
M14 [Patient Services],14.14.2,Number of children discharged with target weight gain from the NRCs,TOTAL,Kancheepuram,0.0
M14 [Patient Services],14.15,Number of Rogi Kalyan Samiti (RKS) meetings held,TOTAL,Kancheepuram,436.0
M14 [Patient Services],14.16,Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach,TOTAL,Kancheepuram,13461.0
M14 [Patient Services],14.17,Stock out rate of essential Drugs,TOTAL,Kancheepuram,0.0
M14 [Patient Services],14.18,Blood Units Issued on replacement (Family Donors to be considered as replacement donations),TOTAL,Kancheepuram,0.0
M14 [Patient Services],14.19,Total number of blood units issued in year,TOTAL,Kancheepuram,2382.0
M14 [Patient Services],14.2,Patient Satisfaction Score of the facility in percentage (from Mera Aspatal),TOTAL,Kancheepuram,394.0
M15 [Laboratory Testing],15.1,Number of Lab Tests done,TOTAL,Kancheepuram,4442560.0
M15 [Laboratory Testing],15.2.1,Number of Hb tests conducted,TOTAL,Kancheepuram,440138.0
M15 [Laboratory Testing],15.2.2,"Out of the total number of Hb tests done, Number having Hb < 7 mg",TOTAL,Kancheepuram,11474.0
M15 [Laboratory Testing],15.3.1.a,Male HIV - Number Tested,TOTAL,Kancheepuram,43561.0
M15 [Laboratory Testing],15.3.1.b,Male HIV - Number Positive,TOTAL,Kancheepuram,74.0
M15 [Laboratory Testing],15.3.2.a,Female Non ANC HIV - Number Tested,TOTAL,Kancheepuram,25976.0
M15 [Laboratory Testing],15.3.2.b,Female Non ANC HIV - Number Positive,TOTAL,Kancheepuram,41.0
M15 [Laboratory Testing],15.3.3.a,Number of pregnant women screened for HIV,TOTAL,Kancheepuram,30843.0
M15 [Laboratory Testing],15.3.3.b,"Out of the above, number screened positive",TOTAL,Kancheepuram,14.0
M15 [Laboratory Testing],15.3.3.c,"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",TOTAL,Kancheepuram,7.0
M15 [Laboratory Testing],15.3.4.a,Number of Male STI/RTI attendees tested for syphilis,TOTAL,Kancheepuram,8029.0
M15 [Laboratory Testing],15.3.4.b,Number of Male STI/RTI attendees found sero Positive for syphilis,TOTAL,Kancheepuram,0.0
M15 [Laboratory Testing],15.3.4.c,Number of Female (Non ANC)STI/RTI attendees tested for syphilis,TOTAL,Kancheepuram,1472.0
M15 [Laboratory Testing],15.3.4.d,Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis,TOTAL,Kancheepuram,0.0
M15 [Laboratory Testing],15.4.1,Widal tests - Number Tested,TOTAL,Kancheepuram,28553.0
M15 [Laboratory Testing],15.4.2,Widal tests - Number Positive,TOTAL,Kancheepuram,244.0
M15 [Laboratory Testing],15.5.1,Radiology - X-ray,TOTAL,Kancheepuram,97769.0
M15 [Laboratory Testing],15.5.2,Radiology - Ultrasonography (USG),TOTAL,Kancheepuram,50805.0
M16 [Details of deaths reported with probable causes:],16.1,Infant deaths within 24 hrs(1 to 23 Hrs) of birth,TOTAL,Kancheepuram,8.0
M16 [Details of deaths reported with probable causes:],16.2.1,Infant Deaths up to 4 weeks due to Sepsis,TOTAL,Kancheepuram,11.0
M16 [Details of deaths reported with probable causes:],16.2.2,Infant Deaths up to 4 weeks due to Asphyxia,TOTAL,Kancheepuram,18.0
M16 [Details of deaths reported with probable causes:],16.2.3,Infant Deaths up to 4 weeks due to Other causes,TOTAL,Kancheepuram,9.0
